ID,Titulo,Autoria,Localizacao,Freguesia,Data,Tipologia,pic_url,LON,LAT,Descricao
87,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id87.jpg,"-9,239771627","38,75549061","APAURB (2014). Mural alusivo ao 12º Festival Internacional da Banda Desenhada da Amadora, em 2001. Desenho de Luís Henriques."
88,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id88.jpg,"-9,240395575","38,75540132","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
89,Sem título,APAURB,Rua Dona Filipa de Lencastre,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id89.jpg,"-9,243562312","38,75564728","APAURB (2014). Mural alusivo ao 16º Festival Internacional da Banda Desenhada da Amadora, em 2005. Desenho de Ricardo Ferrand."
90,Sem título,APAURB,Estrada Velha de Queluz,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id90.jpg,"-9,244915503","38,75567621","APAURB (2014). Mural alusivo ao 14º Festival Internacional da Banda Desenhada da Amadora, em 2003. Desenho de José Carlos Fernandes"
91,Sem título,APAURB,Estrada Velha de Queluz,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id91.jpg,"-9,245175024","38,75578549","APAURB (2014). Mural alusivo ao 17º Festival Internacional da Banda Desenhada da Amadora, em 2006. Desenho de Filipe Abranches."
92,Sem título,APAURB,Estrada Velha de Queluz,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id92.jpg,"-9,245420466","38,75588739","APAURB (2014). Mural alusivo ao 17º Festival Internacional da Banda Desenhada da Amadora, em 2006. Desenho de Filipe Abranches."
93,Sem título,APAURB,Estrada Velha de Queluz,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id93.jpg,"-9,245759489","38,75602757","APAURB (2014). Mural alusivo ao 22º Festival Internacional da Banda Desenhada da Amadora, em 2011. Desenho de Filipe Abranches."
94,Sem título,APAURB,Estrada Velha de Queluz,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id94.jpg,"-9,246169193","38,75619582","APAURB (2014). Mural alusivo ao 23º Festival Internacional da Banda Desenhada da Amadora, em 2012. Desenho de Filipe Abranches."
95,Sem título,APAURB,Estrada Velha de Queluz,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id95.jpg,"-9,246356299","38,75627393","APAURB (2014). Mural alusivo ao 23º Festival Internacional da Banda Desenhada da Amadora, em 2012. Desenho de Filipe Abranches."
96,Amália Rodrigues,Odeith,Rua Carlos Duarte Caneças,Falagueira-Venda Nova,2016,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id96.jpg,"-9,22032837","38,75885038","Odeith (2016). Mural da autoria de Odeith que representa uma homenagem à fadista portuguesa Amália Rodrigues. Esta intervenção artística foi realizada no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
97,Zeca Afonso,Odeith,Rua António Duarte Caneças,Falagueira-Venda Nova,2016,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id97.jpg,"-9,220499077","38,75837838","Odeith (2016). Mural da autoria de Odeith que presta homenagem ao músico e compositor português José Afonso. Esta intervenção artística foi realizada no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
